Artwork,Medium,Culture,Period,Provenance,Image Location,War-Gear,Context,Wielder,Description 1,Description 2,Description 3,Description 4,Held 1,Held 2,Notes
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 51v,Spear,P (H),W,SLS,LozB,n/a,n/a,n/a,Up,
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 51v,Spear,P (H),W,SLS,LozB,n/a,n/a,n/a,Up,
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 51v,Spear,P (H),W,SLS,LozB,n/a,n/a,n/a,Up,
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 95v,Sword,V (Ex),Wk (Ex),TLP,n/v,n/v,n/a,L,Rev,
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 95v,Sword,V (Ex),Wk (Ex),TLP?,CG,CG,n/a,L,Rev,
"London, BL MS Additional 49598: Benedictional of St. Æthelwold",Illuminated Manuscript,Anglo-Saxon,950-1000,"Winchester, Old Minster; New Minster",Folio 95v,Sword,V (Ex),Wk (Ex),TLP,CG,CG,n/a,R,Up,
"Cambridge, Corpus Christi College Cambridge MS 389: Hieronymus, Vita S. Pauli Eremitae; Felix, Vita S. Guthlaci",Illuminated Manuscript,Anglo-Saxon,950-1000,"Canterbury, St Augustine's",Folio 17v,Sword,Ent,El (R),Disc?,SG,n/v,n/a,L,Hzt,Very unclear
"London, British Library MS Harley 2506, fols. 36-48v: Aratus of Soli, Phaenomena, trans. Cicero [aka Aratea]",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Fleury, N. France",Folio 41,Sword,P (H),XO (P),TLP,CG,n/v,Full,L,Hzt,
"London, British Library MS Harley 2506, fols. 36-48v: Aratus of Soli, Phaenomena, trans. Cicero [aka Aratea]",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Fleury, N. France",Folio 44,Spear,P (H),XO (P),SLS,BB,Lug,n/a,L,Up,Tassels
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 1,Sword,V (Sac),Xtn (BF),TLP,SG,n/a,Full,R,Up,Decorated lower guard?; lge hilt
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 2,Spear,P (H),El (R),SLS,LozB,Lug,n/a,R,HRev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 2v,Spear,P (H),Xtn (BF),SLS,n/v,n/a,n/a,L,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 2v,Spear,P (H),W,SLS,n/v,n/a,n/a,R,Hzt,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 2v,Spear,P (H),W,SLS,n/v,n/a,n/a,R,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 2v,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 2v,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 3,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 3,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 3,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 3,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 3,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 3,Spear,P (H),W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 4v,Spear,V,Fem (P),SLS,n/v,Lug,n/a,Bth,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 6,Spear,V,Fem (P),SLS,n/v,n/a,n/a,R,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 6v,Sword,V,Fem (P),TLP,CG,CG,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Sword,R,Fem (P),n/v,n/v,CG,n/a,R,HFwd,Dedicated
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,L,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,R,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 8v,Spear,V,W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9,Spear,V,Fem (P),SLS,n/v,n/v,n/v,Bth,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9,Spear,V,Fem (P),SLS,LozB,Lug,n/a,L,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Spear,V,Fem (P),SLS,LozB,n/a,n/a,R,HFwd,Head faded
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Spear,V,Fem (P),SLS,BB,Lug,n/a,L,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Spear,V,Fem (P),SLS,LozB,Lug,n/a,L,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Spear,V,None,SLS,BB,Lug,Skt,n/a,Hzt,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Spear,V,None,SLS,BB,Lug,n/a,n/a,Hzt,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Spear,V,None,SLS,BB,Lug,n/a,n/a,Hzt,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 9v,Sword,V,None,TLP,SG,CG,n/a,n/a,n/a,Lge pommel; broken blade
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 10,Sword,V,Fem (P),TLP,n/a,SG,n/a,R,Up,Pierces frame
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 10v,Sword,V,Fem (P),n/v,CG,n/v,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 11,Sword,V (Su),Fem (P),TLP,CG,CG,Full,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 11v,Spear,V,W,SLS,n/v,n/a,n/a,R,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 11v,Spear,V,W,SLS,n/v,n/a,n/a,R,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 11v,Spear,V,W,SLS,n/v,n/a,n/a,R,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 11v,Spear,V,W,SLS,n/v,n/a,n/a,R,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 11v,Spear,V,W,SLS,n/v,n/a,n/a,n/v,Vtl,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 16,Sword,R,Fem (P),TLP,n/v,SG,n/a,R,Up,Presented 'Sword of Vengeance'; pierces frame
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 16,Sword,V,Fem (P),TLP,n/v,CG?,Full,R,Up,Pierces frame
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 18,Spear,V,W,SLS,BB,Lug,n/a,R,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 18,Spear,V,W,SLS,n/v,n/a,n/a,R,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 19,Spear,V,None,SLS,BB,Lug,n/a,n/a,HRev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 19,Spear,V,None,SLS,BB,Lug,n/a,n/a,HRev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 19,Spear,V,None,SLS,BB,Lug,n/a,n/a,HRev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 19,Spear,V,None,SLS,BB,Lug,n/a,n/a,HRev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 19,Spear,V,None,SLS,LozB,Lug,n/a,n/a,HRev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 19v,Spear,P (H),Fem (P),SLS,BB,Lug,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 25v,Spear,V,Fem (P),SLS,BB,Lug,n/v,L,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 28v,Sword,V,Fem (P),n/v,n/v,SG,n/a,L,Rev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 28v,Spear,V,Fem (P),SLS,BB,Lug,n/a,L,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 30,Spear,V,Fem (P),SLS,BB,Lug,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 30,Sword,P (H),Fem (P),BNut,SG,CG,n/a,Bth,Rev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 30,Sword,P (H),Fem (P),n/v,SG,n/v,n/a,R,Hzt,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 31,Spear,V,Fem (P),SLS,BB,Lug,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 31v,Sword,P (H),Fem (P),TLP,SG,n/v,n/a,Bth,Hzt,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 31v,Sword,P (H),Fem (P),TLP,SG,n/v,n/a,Bth,Rev,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 32,Spear,P (H),Fem (P),SLS,LozB,Lug,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 32,Spear,P (H),Fem (P),SLS,LozB,Lug,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 33,Spear,V,Fem (P),SLS,LozB,Lug,n/a,Bth,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 34,Sword,V,Fem (P),n/v,CG?,n/v,n/a,R,Up,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 34,Spear,V,Fem (P),SLS,BB,Lug,n/a,Bth,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 34,Spear,V,Fem (P),SLS,BB,Lug,n/a,n/v,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 34,Spear,V,Fem (P),SLS,BB,Lug,n/a,n/v,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 34,Spear,V,Fem (P),SLS,BB,Lug,n/a,n/v,HFwd,
"Cambridge, Corpus Christi College MS 23, pt. 1: Prudentius, Psychomachia; Peristephanon, etc.",Illuminated Manuscript,Anglo-Saxon,975-1000,"?Canterbury, Christ Church; Malmesbury",Folio 34v,Sword,V,Fem (P),n/v,SG,n/v,n/a,Bth,HFwd,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4,Sword,V (Sac),Xtn (BF),TLP,CG,n/v,n/a,R,Up,Pierces frame
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),El (R),SLS,LozB,Lug,n/a,n/v,Up,Pierces frame
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),El (R),SLS,LozB,Lug,n/a,n/v,Up,Pierces frame
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),El (R),SLS,LozB,Lug,n/a,n/v,Up,Pierces frame
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),El (R),SLS,LozB,Lug,n/a,R,HFwd,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),El (R),SLS,LozB,Lug,n/a,n/v,HFwd,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),W,SLS,LozB,Lug,n/a,R,Up,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),W,SLS,BB,Lug,n/a,R,HFwd,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),Xtn (BF),SLS,BB,Lug,n/a,R,HFwd,More elab fittings
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 4v,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Cotton Cleopatra C.VIII: Prudentius, Psychomachia",Illuminated Manuscript,Anglo-Saxon,900-1100,"Canterbury, Christ Church",Folio 5,Spear,P (H),Xtn (BF),SLS,BB,Lug,n/a,R,HFwd,
